id,name,overall_score,population_density,median_age_of_population,population,annual_population_growth_rate,female_population,male_population,cost_of_a_one_bedroom_apartment_in_the_city_center,average_salary,income_inequalities,gross_domestic_product__gdp,unemployment_rate,average_price_of_milk__1_liter,vat,number_of_universities,maximum_income_tax,big_mac_index,mcdonald_s_mcmeal_or_combo_meal_price,fuel_price__1_liter,hospital_beds_per_1_000_inhabitants,minimum_income_tax,average_temperature,average_maximum_temperature,humidity_rate,average_minimum_temperature,unesco_world_heritage_landmarks,sports_facilities__stadiums__arenas_with_20_000__seats,cost_of_the_monthly_public_transport_ticket,price_of_a_single_transportation_ticket,number_of_airports,global_cities_index,number_of_billionaires,number_of_public_wi_fi_spots,average_commuting_time,number_of_cinemas,facebook_users,commuter_pain_index,number_of_international_embassies,number_of_international_organizations__headquarters,green_area_per_person,number_of_museums,research_institutions_and_think_tanks,foreign_direct_investment__fdi,number_of_theaters,football_clubs_in_the_top_division,length_of_subway_per_100_000_inhabitants,total_surface,international_population,single_population,number_of_sister_cities,murder_rate,quality_of_living,average_price_of_a_beer__0_5_l,total_length_of_bike_paths,number_of_kindergartens,distance_from_capital,number_of_tourists_per_year,level_of_air_pollution__air_quality_index,percentage_of_slum_population,median_household_income,theft_rate,position_in__the_world_s_best_city_to_live_in__ranking,income_growth,hospitals
1,Tokyo,100,6000 people/km²,44.7 years,13.18 million,0.77%,52%,48%,1 162.14$,2 895.20$,0.25,910.9$ billion,4.6%,1.81$,5%,185,40%,4.08$,6.18$,1.12$,14,5%,16.4°C,19.9°C,61.9%,12.9°C,0,5,89.03$,1.64$,2,4.99,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sacramento,99,4800 people/km²,33.2 years,0.49 million,1.27%,51.3%,48.7%,1 133.33$,2 966.99$,0.38,,11.1%,0.95$,,,,,,,,,17.1°C,24.3°C,67%,9.9°C,,2,105$,2.75$,1,,,550,26 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"San Jose, CA, United States",99,5400 people/km²,35.2 years,0.98 million,,54.6%,45.4%,2 454.16$,5 414.69$,0.38,147$ billion,9.4%,,,,,,,,,,16.1°C,22°C,,10.2°C,,1,70$,2$,1,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Delhi,99,3886 people/km²,,16.79 million,3.8%,46%,54%,242.57$,653.21$,,110$ billion,4.63%,0.73$,12.5%,,,,,,,,25.2°C,31.4°C,,19°C,2,2,13.86$,0.38$,1,1.55,12,,,,5%,72,145,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,Shanghai,97,3600 people/km²,32.26 years,23 million,22.15%,49.56%,50.44%,1 003.19$,1 356.92$,0.44,297$ billion,4.5%,,,,,,,,,,16.55°C,20.2°C,76.8%,,,12,29.49$,0.44$,2,2.73,8,,50.4 minutes,,,,,,1.15m²,17,1,12.6$ billion,,,,,,,,,,,,,,,,,,,,,
6,London,97,5518 people/km²,36.4 years,9.78 million,1.4%,51.1%,48.9%,2 145.13$,2 773.00$,0.35,565$ billion,8.1%,,,,,,,,,,11°C,15.2°C,92.3%,,4,13,166.41$,3.2$,5,5.79,72,,46 minutes,,,,160,,27m²,240,11,,104,6,4.1km,1 572 km²,,,,,,,,,,,,,,,,,
7,Mexico City,96,6000 people/km²,,8.84 million,1.8%,51.1%,48.9%,459.18$,697.49$,,390$ billion,3.7%,0.86$,,,,,,,,,16.5°C,23.4°C,56%,,2,3,16.11$,0.27$,1,2.18,8,,,,35%,108,79,,,,,,,,,,,,,,,,,,,,,,,,,,
8,New York,95,10194 people/km²,35.5 years,8.5 million,0.9%,52.51%,47.49%,3 001.28$,4 370.90$,0.47,1280$ billion,4.3%,,,,,,,,,,12.7°C,17.1°C,68%,8.8°C,1,3,116.5$,2.75$,3,6.35,103,,45.5 minutes,,,,,4,,89,,,,2,4.63km,1 214 km²,37%,65%,11,,,,,,,,,,,,,,
9,Baltimore,95,2970 people/km²,35 years,0.62 million,-0.2%,53.4%,46.6%,1 318.20$,3 251.43$,0.38,138$ billion,11%,,,,,,,,,,15.6°C,19.8°C,68%,,,2,68$,1.7$,1,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Beijing,94,1300 people/km²,,21.5 million,3.7%,49.56%,50.44%,984.82$,1 248.56$,0.22,174$ billion,1.39%,1.57$,17%,71,45%,2.27$,4.42$,,,,12.55°C,17.9°C,56.8%,,3,8,29.49$,0.52$,1,3.05,14,,43.6 minutes,,,95,132,,,23,9,,,,,,,,,,,,,,,,,,,,,,
11,Moscow,94,5000 people/km²,40.7 years,12.6 million,2.5%,,,1 000.36$,1 003.73$,0.42,286.6$ billion,0.4%,1.1$,20%,60,34%,2.7$,,,,,5.8°C,9.6°C,76.7%,2.1°C,3,3,32.78$,0.89$,3,2.7,82,150,,132,16.8%,65,148,,27m²,185,112,,100,,3.7km,2 511 km²,,,77,4.9,,,,,,,,,,,,,
12,Panama City,94,2750 people/km²,27.8 years,1.8 million,,49.5%,50.5%,700$,1 650.00$,0.52,,4.5%,0.94$,7%,10,27%,,8$,,,,20.4°C,24.8°C,,16°C,1,1,33.5$,1.5$,2,,,,,,29.73%,,38,0,,,0,,,,0km,,,,,21.6,93#,,,,,,,,,,,,
13,Mumbai,93,20694 people/km²,28 years,24.4 million,1.11%,45.5%,54.5%,568.14$,785.17$,0.33,173.8$ billion,7.8%,0.76$,,,,,,,,,26.9°C,31.7°C,74%,22.1°C,2,3,7.75$,0.23$,1,1.79,23,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
14,Hong Kong,92,6480 people/km²,41.7 years,7.08 million,0.76%,53.2%,46.8%,2 198.01$,2 716.32$,0.43,351.12$ billion,3.2%,,,,,,,,,,23.24°C,25.6°C,78%,,,4,57.87$,1.29$,1,4.56,38,,,,,,,,,51,1,,,,,,,,,,,,,,,,,,,,,,
15,Tehran,92,10000 people/km²,,8.4 million,1.1%,,,633.44$,311.08$,,66.2$ billion,,0.75$,9%,50,35%,,5.39$,0.3$,,15%,18.1°C,23.2°C,43.6%,,1,3,15$,0.22$,2,,0,,,,,,74,,,,,,,,,,,,,,,0.77$,,,,,,,,,,,
16,Bogota,91,4310 people/km²,28.3 years,7.4 million,2.3%,52.2%,47.8%,438.66$,422.21$,0.57,100$ billion,10.2%,,,,,,,,,,14.5°C,19.3°C,76%,,0,2,30.85$,0.71$,2,1.17,1,,,,,,59,,,,5,,,,0km,,,,,,,,,,,,,,,,,,
17,Bangkok,91,5300 people/km²,,8.2 million,0.72%,,,585.02$,723.07$,0.48,100.58$ billion,,1.46$,,,,,,,,,27.8°C,32.7°C,,24.1°C,0,1,34.91$,1.02$,2,1.93,4,,,,26.6%,,71,,1.82m²,,,,,,,,,,,,,,,,,,,,,,,,
18,Albuquerque,90,1142 people/km²,35.1 years,0.56 million,,51.4%,48.6%,753$,2 707.20$,0.48,,6.4%,0.79$,,,,,,,,,13.8°C,21.3°C,,6.2°C,2,1,30$,1$,1,,,,,,50.1%,,0,,,,,,,,0km,,,,,,,,400km,,,,,,,,,,
19,Manila,90,15400 people/km²,22.5 years,1.78 million,1.8%,,,469.57$,555.28$,0.43,135.93$ billion,10.4%,,,,,,,,,,28.3°C,31.9°C,89%,,1,1,10$,0.4$,3,1.49,6,,40 minutes,80,29.44%,,90,,,14,1,,1,,2km,,,,,,,,,,,,,,,,,,
20,Shenzhen,89,5282 people/km²,,12.9 million,0.9%,45.8%,54.2%,647.7$,1 225.72$,,2$ billion,2.4%,2.06$,,1,45%,2.27$,4.35$,0.96$,,3%,24°C,26.9°C,76.8%,21°C,,2,36.28$,0.29$,1,0.6,,56,46 minutes,,,,,,,,,,,,2.35km,,,,,,,0.77$,,,,,,,,,,,
21,Seoul,89,16000 people/km²,39 years,9.73 million,0.08%,50%,50%,822.7$,2 251.53$,0.32,233$ billion,4.8%,,,,,,,,,,12.2°C,17°C,64.4%,,1,3,51.02$,1.11$,2,3.41,20,,,,,,73,,,,3,,,,2.94km,,,,,,,,,,,,,,,,,,
22,Antananarivo,88,10270 people/km²,18.3 years,0.9 million,2.95%,50.2%,49.7%,226.16$,125.97$,47.5,,0.68%,0.49$,0.2%,1,0.23%,,3.94$,1.02$,,0.23%,18.9°C,24°C,,13.8°C,1,0,13.65$,0.13$,1,,0,,,,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,
23,Kansas City,88,1600 people/km²,34.6 years,0.46 million,0.7%,51.5%,48.5%,926.25$,3 007.86$,0.38,,8.9%,0.88$,,,,,,,,,14.7°C,20°C,70%,9.4°C,,2,50$,1.5$,1,,,118,,65,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,
24,Santiago de Chile,88,8460 people/km²,32.8 years,5.42 million,0.9%,51%,49%,436.43$,746.68$,,93$ billion,10.8%,1.1$,,,,,,,,,14.6°C,22.5°C,66.6%,,0,3,50.51$,1.07$,1,,5,,,,63.8%,,61,,,,6,,,,2.68km,,,,,,,,,,,,,,,,,,
25,Milwaukee,88,2390 people/km²,31 years,0.59 million,-0.1%,51.8%,48.2%,896.93$,3 402.29$,,,8.2%,0.77$,5.6%,,,,,,,,9.4°C,13.8°C,,5°C,0,,64$,2.25$,1,,,,25 minutes,,,,,,,17,,,22,,,,,,,,,,,,,,,,,,,,
26,Phoenix,88,2790 people/km²,31 years,1.4 million,1.6%,48%,52%,954.68$,2 937.97$,0.45,191$ billion,6.9%,,,,,,,,,,23.92°C,30.43°C,,17.41°C,0,2,64$,2$,1,,2,,,78,,,0,1,,23,,,,,2.54km,,,,,,,,,,,,,,,,,,
27,Munich,87,4400 people/km²,,1.52 million,,,,1 152.21$,2 972.87$,0.28,,5.6%,0.86$,,,,,,,,,9.4°C,14.1°C,65.7%,4.8°C,,2,72.67$,3.02$,1,3.1,,,,34,31%,,,,,62,3,,92,,,,,,,,,,1 200km,,,,,,,,,,
28,Oklahoma City,87,370 people/km²,34.2 years,0.6 million,,50.7%,49.3%,850$,2 602.21$,,,5.7%,0.88$,,20,,4.07$,7.25$,0.51$,,,15.9°C,21.9°C,,9.8°C,0,7,22.5$,1.5$,3,,,,22 minutes,20,50.1%,,,,,25,,,27,,,,,,,,,,,0,,,,,,,,,
29,Mesa,87,1365 people/km²,34.7 years,0.45 million,,50.8%,49%,697$,3 075.00$,0.45,,7.5%,0.62$,,,,,,,,,23.92°C,30.4°C,,17.4°C,0,0,64$,2$,1,,,,30 minutes,,50.1%,,0,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
30,Montreal,87,2205 people/km²,36.7 years,1.7 million,,50.5%,49.5%,721.29$,2 033.19$,0.44,148$ billion,8.6%,1.63$,13%,,50%,4.63$,,,,,7.8°C,11.6°C,79.1%,,0,2,61.31$,2.4$,2,2.32,5,,,,46.31%,21,0,,,,4,,,,,,,,,1,22#,,,,,,,,,,,,
31,Rome,87,2232 people/km²,43.8 years,2.87 million,0.88%,51.9%,48.1%,1 066.46$,1 621.43$,0.33,144$ billion,12.9%,,,,,,,,,,15.6°C,20.5°C,72.3%,,5,2,38$,1.63$,2,2.36,1,88,,,37.7%,,152,,,119,0,,,2,2.09km,1 285 km²,10.8%,,,,,,,,,,,,,,,,
32,Singapore,87,731.5 people/km²,37 years,5.18 million,2.1%,50.8%,49.2%,2 035.21$,3 052.32$,0.47,314.91$ billion,1.9%,,,,,,,,,,29.2°C,32.3°C,84.2%,26°C,0,1,71.91$,1.29$,1,3.2,5,103,,,61.64%,44,66,,,18,2,,,,,716 km²,23%,,,,,,,,,,,,,,,,
33,Los Angeles,87,3198 people/km²,34.2 years,4.04 million,0.7%,50.2%,49.8%,1 940.70$,3 934.84$,0.47,,8.7%,0.96$,9%,,,,,,,,19.1°C,24.3°C,,13.9°C,1,3,100$,1.75$,2,3.94,20,,290 minutes,,,34,,,,100,,,,2,,1 302 km²,,,25,,,,,,3 940km,42.2 million,,,,,,,
34,Windhoek,86,924 people/km²,,0.3 million,4%,,,596.86$,751.68$,0.63,,40%,1.29$,,,,,,,,,21.3°C,28.8°C,40.6%,13.8°C,0,,22.87$,0.76$,1,,0,,,,,,28,,,,,,1,,,,,,,,,,,,,,,,,,,,
35,Wichita,86,927 people/km²,33.9 years,0.38 million,0.52%,50.7%,49.3%,,,0.37,,7.3%,,,4,6.45%,,,,,,13.9°C,20°C,67%,7.7°C,,,,,2,,,82,19 minutes,,,,,,,,,,,,,,,,,4.16,,,,,,,,,,,,,
36,Montevideo,86,652.3 people/km²,33.8 years,1.31 million,0.6%,51.9%,48.1%,560.75$,633.79$,0.45,16.65$ billion,6.2%,,,,,,,,,,17°C,21.4°C,74%,,0,2,45.99$,1.06$,1,,0,,31.7 minutes,,,,41,,,,3,,,,0km,,,,,,,,,,,,,,,,,,
37,Istanbul,86,2662 people/km²,23 years,14.8 million,1.68%,49.97%,50.03%,487$,690.62$,0.43,182$ billion,15.5%,,,,,,,,,,16.1°C,19.7°C,79%,,1,5,50.3$,0.7$,2,2.1,34,,,70,62.98%,,,1,6.4m²,48,3,,23,,,,,,,,,,,,,,,,,,,,
38,Caracas,86,1430 people/km²,26.3 years,1.94 million,1.7%,50.5%,49.5%,281.63$,31.21$,0.49,60.13$ billion,47.9%,,,,,,,,,,22.5°C,25.2°C,74.5%,,1,0,4.25$,0.25$,1,0.89,1,,,,,,71,,,,1,,,,2.78km,,,,,,,,,,,,,,,,,,
39,Taipei,85,9600 people/km²,,2.7 million,4.35%,51.8%,48.2%,529.26$,2 191.25$,0.3,260$ billion,4.4%,,,,,,,,,,23.6°C,26.8°C,76.6%,,0,2,33.11$,0.66$,2,2.05,15,,24 minutes,,,,0,,5.22m²,43,2,,,,,,,,,,,,,,,,,,,,,,
40,Madrid,85,5390 people/km²,40.9 years,3.27 million,1.1%,50.5%,49.5%,852.85$,1 596.22$,0.46,230$ billion,21%,,,,,,,,,,15°C,19.4°C,57%,,1,4,59.29$,1.63$,3,2.8,3,,,,,28,102,,,,1,,,4,,606 km²,,,,,,,,,,,,,,,,,
41,Port Louis,85,3500 people/km²,33.1 years,0.15 million,,50.8%,49.2%,418.58$,687.27$,0.39,,0%,1.14$,15%,5,15%,,5.42$,,,,25.2°C,29.4°C,,21.6°C,2,0,28.54$,0.88$,1,,0,,,,27.21%,,11,,,,0,,,,0km,,,,,2.5,59#,,,,,,,,,,,,
42,Kuwait City,85,11900 people/km²,,2.3 million,2%,,,1 016.64$,2 066.61$,,,2.1%,1.3$,0%,,7%,,6.59$,0.26$,2.2,0%,26.9°C,33.4°C,,20.3°C,0,1,49.46$,0.82$,1,,4,,,,30.96%,,60,,,,1,0.31$ billion,,,,,,,,,,4.95$,,,,,,,,,,,
43,Ho Chi Minh City,85,9000 people/km²,28.2 years,7.5 million,,50%,50%,485.62$,417.5$,,,5%,1.38$,10%,80,35%,,4.41$,0.73$,,5%,28.7°C,33.1°C,75.7%,24.3°C,,1,5.29$,0.26$,1,,,,,,7.95%,,1,,,9,,32$ billion,,,,,,,,,,0.69$,,,,,,,,,,,
44,Banjul,85,970 people/km²,19.7 years,0.03 million,,50.5%,49.5%,167.93$,50.56$,0.47,,,1.19$,10%,,,,,,,,27°C,32.4°C,67.4%,,2,0,5.42$,0.17$,1,,0,,,,5.3%,,14,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
45,Sofia,84,2400 people/km²,41.9 years,1.5 million,11%,52.5%,47.5%,322.7$,612.35$,0.45,30$ billion,12.2%,,,,,,,,,,11.6°C,17.5°C,65%,,1,5,28.59$,0.91$,1,,,128,,,,,61,,1343m²,11,33,,2,,2.66km,492 km²,,,24,,,,,,,,,,,,,,
46,Buenos Aires,84,14000 people/km²,31.8 years,2.89 million,1%,50.8%,49.2%,448.57$,517.66$,0.46,100$ billion,10.6%,,,,,,,,,,18.1°C,21.4°C,72%,,0,7,17.06$,0.4$,2,2.71,4,,,,48.22%,42,85,,,11,3,,,,2.12km,,,,,,,,,,,,,,,,,,
47,Chicago,84,4447 people/km²,33.1 years,2.84 million,13%,51.5%,48.5%,1 778.37$,3 721.05$,,532$ billion,10.3%,0.78$,10%,,,,,,,,11.2°C,15.8°C,,6.7°C,0,5,100$,2.5$,2,3.66,13,,33.2 minutes,,,25,,,,55,,,,2,,606 km²,,,36,,,,,,,46.3 million,,,,,,,
48,Perth,84,310 people/km²,36.1 years,1.9 million,,50.4%,49.6%,1 269.74$,3 021.58$,,73.7$ billion,5.8%,1.13$,10%,,45%,4.94$,7.44$,0.94$,,,18.9°C,25.5°C,47%,,0,3,100.51$,2.98$,2,,,53,,9,57%,,,,,12,,,,,,,,,,,,3.99$,,,,,,,,,,,
49,San Francisco,84,6633 people/km²,38.5 years,0.8 million,0.9%,49.3%,50.73%,3 292.42$,4 817.46$,0.8,326$ billion,7.8%,,,,,,,,,,14.57°C,18.4°C,73%,,0,2,73$,2.25$,2,2.89,18,145,34 minutes,,,,,,,48,0,,62,1,,600 km²,,,19,,,,,,,,,,,,,,
50,Budapest,84,1000 people/km²,40.2 years,1.75 million,0.57%,52.5%,47.5%,435.84$,643.31$,0.27,60$ billion,8.9%,,,,,,,,,,10.4°C,15°C,,6.3°C,1,1,33.11$,1.22$,1,,,131,,32,44.6%,,79,,,120,39,,49,,2.26km,525 km²,1.7%,,12,,,,,,,,,,,,,,
51,Wellington,84,890 people/km²,34 years,0.3 million,1.9%,,,998.09$,3 406.96$,,19.3$ billion,6.1%,1.9$,,,,,,,,,13.8°C,16.7°C,,11°C,,,92.68$,2.45$,1,,0,,,,56.42%,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Berlin,84,3900 people/km²,44 years,3.6 million,0.04%,50.8%,49.2%,950$,2 185.30$,0.28,94.7$ billion,12.2%,,,,,,,,,,9.6°C,13.4°C,81.1%,,3,2,87.95$,3.25$,2,2.76,2,,,300,31%,,154,,21m²,175,7,,140,1,,891 km²,13.6%,,,,,,620km,,,,,,,,,,
53,Abu Dhabi,84,9221 people/km²,30.1 years,0.6 million,10.4%,,,1 848.31$,3 802.71$,,,3.5%,1.51$,,6,,2.67$,6.81$,0.48$,1.3,,28.5°C,34°C,,23°C,0,1,21.78$,0.54$,1,,0,12,,9,,,104,1,,,,10$ billion,,,,,,,,,78#,2.37$,,,,,,,,,,,
54,Havana,84,2930 people/km²,38.9 years,2.2 million,-0.12%,50.5%,49.5%,733.33$,28.05$,0.3,,1.4%,2.34$,,,,,,,,,25.2°C,28.8°C,76.1%,,1,2,9$,0.35$,1,,0,,,,,,88,,,,0,,,,0km,,,,,,,,,,,,,,,,,,
55,Islamabad,84,1271 people/km²,22 years,1.7 million,2.44%,,,244.51$,308.06$,,21.11$ billion,15.7%,0.99$,16%,26,35%,2.89$,5.22$,,,,22.4°C,28.7°C,,16.2°C,,,9.49$,0.19$,2,,1,,,,,,73,,,5,1,,,,,,,,,,209#,,,,,,,,,,,,
56,Dallas,84,1358 people/km²,31 years,1.3 million,,49.5%,50.5%,1 230.12$,4 089.38$,,58$ billion,5.7%,0.69$,,,,,,,,,20.4°C,25.6°C,,15.2°C,0,1,80$,2.5$,2,,,88,30 minutes,,50.1%,,0,,,25,0,,,,,,,,,,,,,,,,,,,,,,
57,La Paz,84,324 people/km²,22.8 years,0.91 million,4.16%,50.5%,49.5%,286.88$,354.54$,0.57,3.07$ billion,7.6%,,,,,,,,,,7.7°C,14.8°C,,0.5°C,1,4,28.62$,0.31$,1,,0,,,,17.52%,,28,,,9,1,,,,0km,,,,,,,,,,,,,,,,,,
58,Kolkata,84,24000 people/km²,,4.49 million,0.79%,45%,55%,202.93$,394.27$,0.33,150$ billion,,0.62$,12.5%,,,,,,,,27°C,31.9°C,71.6%,22.2°C,0,4,4.62$,0.15$,1,0.63,4,,,,34.86%,,,,,,,,,,0.73km,,,,,,,,,,,,,,,,,,
59,Paris,83,20700 people/km²,38.6 years,2.23 million,1.08%,51.1%,48.9%,1 194.80$,2 698.65$,0.32,,7.6%,1.18$,,,,,,,,,12°C,16.2°C,,7.8°C,1,7,81.61$,2.12$,3,5.48,15,,,,,31,186,,,152,8,,,1,,105.4 km²,,,,,,,440km,,,,,,,,,,
60,Yerevan,83,3700 people/km²,32.6 years,1.07 million,10%,54%,46%,257.98$,326.81$,0.3,,17.3%,0.84$,,,,,,,,,12.4°C,18.5°C,62%,6.2°C,3,1,12.59$,0.21$,2,,0,40,,6,,,22,,,29,14,,11,,1.24km,223 km²,0.08%,,19,,,,,,,,,,,,,,
61,Frankfurt,83,2667 people/km²,,0.7 million,,,,1 010.50$,2 718.04$,,226.9$ billion,7.1%,0.89$,,,,,,,,,11.3°C,15.5°C,,7°C,0,1,96.71$,3.13$,2,2.69,,,,,31%,,105,,,30,,,11,,,,,,,,,,,,,,,,,,,,
62,Kiev,83,3000 people/km²,38.8 years,2.95 million,0.51%,53.6%,46.4%,425.37$,610$,0.27,33$ billion,2%,,,,,,,,,,8°C,12.1°C,74.5%,4.6°C,2,1,47.88$,0.29$,2,,6,152,,46,,,80,,22.1m²,40,47,,50,,2.32km,839 km²,,,40,,,,,,,,,,,,,,
63,Santo Domingo,83,14200 people/km²,26.5 years,2.94 million,1.3%,49.3%,50.7%,357.77$,339.16$,0.48,,14.1%,1.21$,,,,,,,,,27.4°C,28°C,,26.8°C,1,1,18.18$,0.53$,2,,0,,,,,,33,,,10,0,,,,1.06km,,,,,,,,,,,,,,,,,,
64,Sydney,82,415 people/km²,34 years,5.4 million,2.5%,50.5%,49.5%,1 940.73$,3 470.68$,,409.9$ billion,6%,1.3$,,,,,,,,,17.7°C,22.5°C,,,3,2,119$,3.02$,1,3.13,5,,,66,,,,,91.4m²,,1,,,,,,,,,,,,,,,,,,,,,,
65,Doha,82,11000 people/km²,32.2 years,1.45 million,4.93%,33%,67%,1 973.51$,2 953.24$,41.1,,0.6%,1.58$,0%,11,0%,,5.77$,0.4$,,,29°C,33.4°C,,24.7°C,0,1,35.7$,1.37$,1,,0,,,13,,,61,,,14,0,,,,,,,,,,106#,,,,,,,,,,,,
66,Toronto,82,4334 people/km²,36.9 years,5.4 million,,52%,48%,1 199.10$,2 574.92$,0.44,185.9$ billion,6.3%,,,,,,,,,,9.1°C,11.9°C,,6.2°C,,3,105.01$,2.45$,2,2.92,27,,,,,27,,,,,4,,,1,1.41km,630 km²,49.9%,,11,,,,,,,,,,,,,,
67,Canberra,82,468.6 people/km²,,0.38 million,3.2%,,,1 356.64$,3 561.75$,,931.6$ billion,5.2%,1.05$,10%,4,45%,4.94$,7.44$,0.94$,,,13.5°C,20.7°C,,6.3°C,0,0,74.45$,3.35$,1,,0,,,7,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Memphis,82,898 people/km²,32.6 years,0.67 million,-0.05%,52.6%,47.4%,,,0.46,64$ billion,8.4%,,7%,16,0%,4.07$,,,,0%,17.21°C,22.44°C,56.8%,11.98°C,0,1,,,1,,1,,24 minutes,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
69,Prague,82,2500 people/km²,41.6 years,1.32 million,0.52%,51%,49%,603.81$,1 021.43$,0.25,,3%,0.73$,,,,,,,,,8.4°C,13°C,,4.3°C,1,3,22.2$,0.97$,1,,1,210,,20,,,78,,,27,26,,23,,4.93km,496 km²,,,26,,,,,,,,,,,,,,
70,Atlanta,82,1230 people/km²,33.1 years,0.46 million,3%,50.2%,49.8%,1 349.87$,3 701.34$,,304$ billion,9.6%,0.81$,10%,,,,,,,,17.7°C,22.9°C,69%,,0,6,95$,2.5$,1,2.06,3,,28.5 minutes,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
71,Houston,82,1510 people/km²,37.1 years,2.09 million,2.1%,50.8%,49.2%,1 285.29$,3 798.79$,,341$ billion,5.6%,0.8$,,,,,,,,,21.1°C,26.5°C,,15.6°C,0,3,46.38$,1.27$,2,,12,141,,,50.1%,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
72,Tbilisi,82,1600 people/km²,39.1 years,1.5 million,0.85%,,,307.87$,271.1$,0.4,,16%,1.2$,,,,,,,,,14.3°C,19°C,67%,9.7°C,3,2,12.46$,0.21$,1,,1,,,10,,,22,,,60,12,,9,,1.82km,726 km²,,,19,,,,,,,,,,,,,,
73,Guatemala City,82,,20.4 years,1.11 million,2.5%,50.8%,49.2%,468.04$,601.62$,0.54,,4.1%,1.55$,12%,14,31%,,5.72$,0.78$,,,20°C,25.1°C,70%,14.8°C,0,1,17.04$,0.17$,1,,0,,,,16.06%,,37,,,,2,,,,0km,,,,,51,,,,,,,,,,,,,
74,Philadelphia,81,4400 people/km²,34 years,1.57 million,0.7%,53.5%,46.5%,1 544.04$,3 661.79$,,,7.1%,1.05$,6%,,,,,,,,14.2°C,18.8°C,65.5%,9.5°C,1,2,91$,2.25$,2,,0,,32 minutes,66,,,0,1,,32,1,,45,,,,,,,,,,,,,,,,,,,,
