id,name,overall_score,population_density,median_age_of_population,population,annual_population_growth_rate,female_population,male_population,cost_of_a_one_bedroom_apartment_in_the_city_center,average_salary,income_inequalities,gross_domestic_product__gdp,unemployment_rate,average_price_of_milk__1_liter,vat,number_of_universities,maximum_income_tax,big_mac_index,mcdonald_s_mcmeal_or_combo_meal_price,fuel_price__1_liter,hospital_beds_per_1_000_inhabitants,minimum_income_tax,average_temperature,average_maximum_temperature,humidity_rate,average_minimum_temperature,unesco_world_heritage_landmarks,sports_facilities__stadiums__arenas_with_20_000__seats,cost_of_the_monthly_public_transport_ticket,price_of_a_single_transportation_ticket,number_of_airports,global_cities_index,number_of_billionaires,number_of_public_wi_fi_spots,average_commuting_time,number_of_cinemas,facebook_users,commuter_pain_index,number_of_international_embassies,number_of_international_organizations__headquarters,green_area_per_person,number_of_museums,research_institutions_and_think_tanks,foreign_direct_investment__fdi,number_of_theaters,football_clubs_in_the_top_division,length_of_subway_per_100_000_inhabitants,total_surface,international_population,single_population,number_of_sister_cities,murder_rate,quality_of_living,average_price_of_a_beer__0_5_l,total_length_of_bike_paths,number_of_kindergartens,distance_from_capital,number_of_tourists_per_year,level_of_air_pollution__air_quality_index,percentage_of_slum_population,median_household_income,theft_rate,position_in__the_world_s_best_city_to_live_in__ranking,income_growth,hospitals
75,Dubai City,81,400 people/km²,27 years,2.26 million,8%,,,1 764.00$,3 323.00$,,82.1$ billion,0.4%,1.4$,,,,,,,,,27.5°C,33.4°C,,22.3°C,0,1,84$,1.3$,2,2.3,4,22,,13,,,2,,13.1m²,,1,,,5,,4 114 km²,,,44,,,,,,,,,,,,,,
76,Rio de Janeiro,81,4787 people/km²,,6.36 million,0.56%,53.2%,46.8%,715.66$,642.43$,,169.51$ billion,5.7%,1.34$,,11,27.5%,6.16$,7.94$,,,,24.1°C,27.2°C,74.1%,,3,5,57.17$,1.21$,2,1.31,6,,,,,,,1,,20,4,,,,,,,,,39,117#,,160km,,,,,,,,,,
77,Harare,81,2540 people/km²,21.7 years,1.61 million,7.14%,,,377.78$,344.44$,0.5,,70%,1.43$,15%,,,,,,,,19.2°C,25.9°C,,12.4°C,0,1,30$,0.5$,1,,0,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mecca,81,2200 people/km²,,1.68 million,,42%,58%,242.18$,1 533.19$,,,,1.11$,,1,,2.67$,,,,,32°C,38.2°C,46.4%,25.7°C,0,1,53.33$,0.8$,2,,,0,,,,,,,,,,,,,0km,,,,,,,,,,,,,,,,,,
79,Ottawa,81,1680 people/km²,36.7 years,0.88 million,1.5%,51.2%,48.8%,902.6$,2 441.68$,0.44,40$ billion,6.3%,,,,,,,,,,6.2°C,10.9°C,,1.5°C,1,1,81.26$,2.62$,1,,0,,,,,,129,,,,7,,,,0km,,,,,,,,220km,,,,,,,,,,
80,Jakarta,81,14464 people/km²,,9.61 million,1.4%,,,575.63$,564$,0.27,56$ billion,6.32%,,,,,,,,,,28.7°C,32.2°C,,25.3°C,0,2,15.78$,0.26$,2,1.3,6,,,,34.1%,,47,,0.55m²,45,4,,,,,,,,,,,,,,,,,,,,,,
81,São Paulo,81,7216 people/km²,,11.3 million,1.26%,52.6%,47.4%,,1 048.00$,,477$ billion,5.2%,,,22,27%,,,,,,22.1°C,24.9°C,78%,19.3°C,2,4,67$,,2,,,127,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
82,Vienna,81,4000 people/km²,42.6 years,1.88 million,0.57%,53%,47%,863.47$,2 059.60$,0.29,122$ billion,8.2%,,,,,,,,,,10.8°C,15°C,69%,,2,2,53.66$,2.46$,1,3,3,240,,38,,,111,,120m²,100,10,,108,,4.43km,414 km²,,,,,,,1 005km,,,,,,,,,,
83,Helsinki,80,1000 people/km²,39.5 years,1.1 million,,53.4%,46.6%,1 038.57$,2 633.17$,0.28,54.2$ billion,6.3%,,,,,,,,,,5.9°C,9°C,,2.9°C,1,,57.55$,3.47$,3,,,,,38,,,,,,71,,,,,,715.49 km²,15.7%,,0,,,,,,,,,,,,,,
84,Riga,80,2300 people/km²,,0.69 million,-0.43%,55.6%,44.4%,406.32$,698.18$,0.35,,12.9%,0.99$,,,,,,,,,8.2°C,11.3°C,79%,5°C,1,1,55.9$,1.34$,1,,,2,,5,21.7%,,33,,,14,,,7,,,,,,,,,,,,,,,,,,,,
85,Riyadh,80,3024 people/km²,20 years,5.4 million,2.6%,42%,58%,513.29$,1 720.70$,,107$ billion,10.9%,1.12$,,,,,,,,,26.6°C,33.1°C,28%,,0,1,24$,0.53$,1,,5,,,,,,92,1,,3,0,,,,,,,,,,,,,,,,,,,,,,
86,Colorado Springs,80,866 people/km²,40.6 years,0.43 million,,51%,49%,791.86$,3 474.42$,,24.06$ billion,9.2%,0.72$,,,,,,,,,10°C,17.4°C,,2.5°C,0,1,61.5$,1.8$,3,,0,,23 minutes,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
87,Colombo,80,17344 people/km²,30.8 years,0.75 million,2.1%,48.86%,51.14%,288.26$,248.02$,0.4,2.9$ billion,4.2%,1.21$,12%,7,35%,,5.24$,0.81$,,,28.3°C,31.7°C,74%,,0,1,6.39$,0.1$,1,,0,,,,,,21,,,4,2,,,,,,,,,,,,,,,,,,,,,,
88,Thimphu,80,7850 people/km²,25.3 years,0.09 million,,47.6%,52.3%,92.5$,264.66$,,,4%,0.91$,,1,,,,,,,14.9°C,20.7°C,,9.1°C,1,1,6.16$,0.31$,0,,,,,6,,,8,,,3,1,,3,,,,,,,,,,,,,,,,,,,,
89,San Antonio,80,1313 people/km²,31.7 years,1.32 million,,51.6%,48.4%,943.12$,3 260.26$,,68.4$ billion,5.4%,0.78$,,,,,,,,,21.9°C,27.8°C,,16°C,0,2,35$,1.3$,1,,0,,27 minutes,,50.1%,,0,,,17,0,,,,,,,,,,,,,,,,,,,,,,
90,Virginia Beach,80,1700 people/km²,35 years,0.45 million,,51%,49%,1 158.00$,3 166.67$,,,5.8%,0.77$,,5,,,,,,,16.6°C,21.3°C,,12°C,0,1,55$,2$,1,,0,,25 minutes,,,,0,,,10,0,,,,0km,,,,,,,,,,,,,,,,,,
91,Karachi,80,3700 people/km²,,13.05 million,5%,48%,52%,201.16$,307.56$,0.3,78$ billion,17%,0.84$,16%,37,35%,2.38$,5.22$,,,,27.2°C,30°C,,24.3°C,0,1,9.49$,0.19$,1,0.66,2,,,,,,,0,,3,,0.81$ billion,,,,,,,,,216#,,,,,,90,,,,,,
92,New Orleans,80,1965 people/km²,,0.36 million,7.4%,53.2%,46.8%,1 382.14$,2 861.11$,0.54,,6.7%,1.1$,10%,,,,,,,,20.9°C,25.7°C,77%,16.2°C,0,2,55$,1.25$,3,,1,73,24 minutes,20,50.7%,,,,,40,,,,,0km,,,,,,,,,,,,,,,,,,
93,Port Moresby,80,3300 people/km²,22 years,0.31 million,,48.8%,51.2%,3 760.11$,,0.51,,1.9%,1.67$,10%,,,,,,,,27.4°C,30.1°C,,24.7°C,1,0,,0.31$,,,0,,,,2.21%,,15,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
94,Nouakchott,79,881 people/km²,19.5 years,0.96 million,12.5%,,,221.55$,332.33$,0.4,,21%,1.52$,15%,,,,,,,,26.7°C,32.8°C,42.3%,20.7°C,0,,27.69$,2.77$,1,,0,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Vilnius,79,1400 people/km²,40.5 years,0.55 million,2.7%,54.4%,45.6%,513.79$,754.63$,0.37,9.85$ billion,15.4%,,,,,,,,,,7.3°C,11.3°C,80%,3.3°C,1,2,32.42$,1.12$,1,,,,,7,,,29,,,60,,,7,,,,,,,,,,,,,,,,,,,,
96,Addis Ababa,79,5165 people/km²,,3.38 million,8%,52.35%,47.65%,273.21$,212.17$,,,8%,1$,,6,,,,,,,17.5°C,23.2°C,,11.9°C,0,1,10$,0.23$,1,,0,,,,,,95,,,7,2,,,,,,,,,,,,,,,,,,,,,,
97,Managua,79,17000 people/km²,23.4 years,0.93 million,,51.5%,48.5%,281.98$,408.19$,0.52,0.93$ billion,9.3%,,,,,,,,,,27°C,31.8°C,73.5%,,0,1,24$,0.17$,1,,0,,,,13.07%,,34,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
98,Melbourne,79,1560 people/km²,,4.1 million,3.7%,50%,50%,1 296.40$,3 281.99$,,356.2$ billion,6.2%,0.98$,10%,8,45%,4.94$,7.44$,,,,14.7°C,19.8°C,,9.6°C,1,3,104.53$,2.98$,2,2.25,3,,,65,56.59%,,,,,14,,,,,,,,,,,18#,,,,,,,,,,,,
99,San Diego,79,1545 people/km²,32 years,1.39 million,,49.8%,50.2%,1 826.05$,3 893.89$,,146$ billion,7%,0.94$,,,,,,,,,18.8°C,22.2°C,,15.4°C,0,3,72$,2.5$,2,,,68,25 minutes,20,50.1%,,0,0,,24,0,,,,,,,,,,,,,,,,,,,,,,
100,Marseille,79,3535 people/km²,,0.86 million,0.27%,53%,47%,588.07$,1 916.58$,0.4,,12.9%,1.02$,,,,,,,,,15.8°C,20.7°C,68.5%,,0,1,41.48$,1.79$,1,,0,65,,7,37.5%,,,,,9,,,7,,,,,,,,,,,,,,,,,,,,
101,Orlando,79,2327 people/km²,33 years,0.24 million,2.8%,51.4%,48.6%,,2 887.00$,,,6%,,10%,16,,4.07$,,,,,22.6°C,28.2°C,74%,17°C,,2,50$,,3,,0,,,,,,,,,10,,,,,,,,,,24,,,,,,,,,,,,,
102,Brussels,79,7025 people/km²,37.8 years,1.21 million,8.3%,51%,49%,864.02$,2 280.10$,0.28,,18%,1.08$,,,,,,,,,10.7°C,14.5°C,80%,,3,2,54.78$,2.35$,2,3.3,0,75,,30,45.4%,,200,,0.01m²,89,18,,5,,3.2km,161 km²,27%,,,,,,,,,,,,,,,,
103,Kingston,79,1358 people/km²,24.4 years,0.94 million,,51%,49%,,250$,0.46,,12.7%,,17.5%,14,35%,,,,1.7,0%,28.2°C,31.8°C,,24.7°C,0,2,32$,,1,,0,,,,23.64%,,28,,,,0,,,,0km,,,,,52.2,144#,,,,,,,,,,,,
104,Lisbon,79,6450 people/km²,40.4 years,0.54 million,0.18%,51.3%,48.7%,687.93$,957.01$,0.38,0.06$ billion,17.9%,,,,,,,,,,17.5°C,21.5°C,,13.5°C,4,3,39.09$,1.63$,1,,3,,,14,44.3%,,93,,,63,0,,10,,,100.5 km²,,,19,,,,,,,,,,,,,,
105,Oakland,78,2700 people/km²,34.5 years,0.4 million,,51.2%,48.7%,2 300.00$,3 215.44$,,,9.6%,0.98$,,6,,,,,,,14.8°C,19.7°C,,10°C,0,4,75$,2.38$,1,,,74,31 minutes,12,,,,,,7,,,5,,,,,,,,,,,,,,,,,,,,
106,Nairobi,78,4509 people/km²,,3.14 million,4.1%,,,371.54$,294.56$,0.48,32.14$ billion,45%,,,,,,,,,,20°C,24.6°C,,15.5°C,0,2,24.2$,0.68$,2,0.98,0,,40 minutes,,,,64,,,3,5,,,,,,,,,,,,,,,,,,,,,,
107,Izmir,78,,30.1 years,2.97 million,,,,286.81$,502.47$,,,11.8%,0.73$,18%,8,35%,3.77$,4.19$,1.43$,,15%,17.1°C,23.2°C,57.8%,11.1°C,0,1,32.98$,0.7$,1,,,42,,18,43.6%,,,,,27,,,,,0.67km,,,,,,,,,,,,,,,,,,
108,Quito,78,690 people/km²,26 years,2.24 million,,50.5%,49.5%,,,0.49,14.7$ billion,5.2%,,12%,11,,,,,,,16.3°C,20.9°C,,11.7°C,1,,15$,,1,,0,,,,33.36%,,34,0,,,,,,,0km,,,,,,,,,,,,,,,,,,
109,Tampa,78,1147 people/km²,34.6 years,0.35 million,,51.2%,48.8%,1 240.50$,2 724.18$,,119.9$ billion,7.4%,1$,10%,,,,,,,,24°C,28.6°C,74.1%,19.5°C,0,2,65$,2$,2,,1,,,7,50.7%,,10,1,,9,,,8,,,,,,,,,,93.7km,,,,,,,,,,
110,Kyoto,78,1776 people/km²,,1.47 million,,,,,,,,5.3%,,5%,37,40%,,,,,,15.9°C,20.8°C,66%,11.7°C,17,1,,,0,,2,31,,11,10.8%,,10,,,55,,,,,2.12km,,,,,0.78,,,,,,,,,,,,,
111,Miami,78,,39.4 years,0.4 million,,49.9%,50.1%,1 813.79$,3 128.02$,,257.6$ billion,6.2%,0.96$,,,,,,,,,25.5°C,29.2°C,84%,,0,4,112.5$,2.25$,,,,175,32 minutes,44,,,,,,12,,,8,,,,,,,,,,,,,,,,,,,,
112,Kaunas,78,,40.5 years,0.31 million,-9.3%,54%,46%,354.78$,655.67$,0.37,,10.1%,0.9$,,,,,,,,,7.8°C,11.8°C,79%,3.8°C,,,27.95$,0.89$,1,,,,,,,,,,,13,,,6,,,,,,,,,,,,,,,,,,,,
113,Lima,78,2854 people/km²,26.5 years,8.85 million,2%,,,,2 538.00$,0.48,77$ billion,7.2%,,18%,,,,,,,,19.4°C,22.1°C,83%,,1,5,31$,,1,,2,,,,31.1%,,52,,,,2,,,,0.39km,,,,,,,,,,,,,,,,,,
114,Stockholm,78,4600 people/km²,39.8 years,1.3 million,0.15%,51.5%,48.5%,1 294.49$,2 626.97$,0.24,458$ billion,3.5%,,,,,,,,,,7.3°C,11°C,,3.6°C,2,2,91.8$,4.13$,4,2.43,5,21,,,,26,105,,,100,2,,6,1,,188 km²,,,,,,,,,,,,,,,,,
115,Suva,78,43.1 people/km²,27.2 years,0.09 million,0.76%,48.7%,51.2%,876.6$,682.13$,,,7.6%,1.48$,15%,2,31%,,6.94$,0.98$,,0%,25.7°C,27.8°C,,23.7°C,0,0,22.74$,0.55$,1,,0,,,1,,,27,,,1,0,,,,,,,,,,,2.46$,,,,,,,,,,,
116,Luxembourg,78,1800 people/km²,39.5 years,0.09 million,1.1%,50.8%,49.2%,1 482.19$,3 167.52$,0.26,,7.1%,1.21$,,,,,,,,,8.48°C,12.3°C,77.3%,,1,2,27.15$,2.17$,1,,0,13,17 minutes,3,,,42,,30m²,4,1,,,,0km,51.4 km²,,,4,,,,,,,,,,,,,,
117,Omaha,78,1240 people/km²,33.6 years,0.41 million,,50.8%,49.2%,,2 830.00$,0.38,,4.2%,,,11,6.84%,,,,,,10.6°C,16.6°C,70%,4.6°C,,1,,,,,,123,20 minutes,,,,,,,28,7,,10,,,,,59.6%,,,,,,,,,,,,,,,
118,Baghdad,77,9250 people/km²,,7.22 million,2.33%,50%,50%,423.76$,733.17$,,24$ billion,11%,1.22$,,5,,,7.61$,0.43$,1.4,,24.1°C,31°C,42.3%,,0,1,0$,0.62$,1,,0,,,,,,170,,,7,0,,,,,,,,,48,221#,,,,,,,,,,,,
119,Asunción,77,4410 people/km²,25.9 years,1.98 million,2.5%,49.25%,50.75%,,255$,0.51,,6.5%,,10%,5,,,,,,,23°C,28.4°C,,18.2°C,0,2,38$,,1,,0,,,,18.64%,,25,,,,0,,,,0km,,,,,,,,,,,,,,,,,,
120,Almaty,77,4100 people/km²,,1.85 million,0.9%,51.8%,48.2%,331.03$,503.52$,,27.24$ billion,,0.91$,12%,,,,,,,,10.6°C,16°C,62%,5.2°C,,4,21.54$,0.26$,1,,2,,,20,,,,,,5,,,10,,0.61km,,,,,,,,,,,,,,,,,,
121,Minneapolis,77,2700 people/km²,,0.38 million,,49.2%,50.9%,1 344.52$,3 417.77$,,199.6$ billion,5.1%,0.73$,,,,,,,,,8.7°C,13.4°C,75%,3.9°C,0,7,68.75$,2.13$,5,,,0,25 minutes,59,,,,,,16,,,3,,,,,,,,,,,,,,,,,,,,
122,Hangzhou,77,530 people/km²,,9.19 million,2.38%,48.7%,51.3%,469.21$,880.46$,,9.08$ billion,,2.26$,17%,,,,,,,,17.7°C,21.6°C,75.7%,13.8°C,1,1,7.26$,0.29$,1,,,3,51.6 minutes,45,0.04%,,,0,,34,,4.18$ billion,,,1.47km,,,,,,,,,,,,,,,,,,
123,Paramaribo,77,,27.6 years,0.24 million,,49.75%,50.25%,132.67$,199$,0.53,,9%,0.85$,,,,,,,,,28°C,31.6°C,79%,,1,0,,0.21$,1,,0,,,,21.04%,,9,,,3,0,,,,0km,,,,,,,,,,,,,,,,,,
124,Bloemfontein,76,990 people/km²,,0.32 million,1.5%,,,228.69$,936.54$,,33.4$ billion,32%,0.9$,,,,,,,,,16.5°C,25.4°C,,7.7°C,1,1,38.88$,0.76$,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Ulan Bator,76,259 people/km²,,1.22 million,2.5%,50%,50%,470.68$,387.84$,,6.6$ billion,9.9%,1$,10%,17,,,5.6$,0.86$,,,-0.9°C,6.1°C,54.3%,,2,1,20.12$,0.24$,1,,,,,6,,,27,,,16,7,,1,,,,,,,,,0.86$,,154,,,,,,,,,
126,St. Petersburg,76,4000 people/km²,41.3 years,5.3 million,1.4%,55.1%,44.9%,,848$,0.42,,1.1%,,20%,96,,,,,,,5.8°C,9.1°C,78%,2.7°C,1,1,31$,,1,,18,696,,62,,,,,6m²,221,,,100,,2.3km,,,,,,,,,,,,,,,,,,
127,Phnom Penh,76,2200 people/km²,23.3 years,1.5 million,3.92%,52.8%,47.2%,456.67$,331.22$,,3.75$ billion,,2.21$,10%,27,20%,,5$,0.9$,,5%,29.3°C,33.6°C,73.3%,25°C,,1,22.5$,2$,1,,,,,10,,,25,,,3,10,,,,,,,,,,,1.27$,,,,,,,,,,,
128,Cartagena de Indias,76,1601 people/km²,,0.97 million,,52.3%,47.7%,,692$,0.57,12$ billion,10%,,16%,,,,,,,,28.3°C,31.6°C,,25.1°C,1,0,52.7$,,1,,,3,,4,39.09%,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
129,Osaka,76,11836 people/km²,,2.6 million,,,,669.32$,2 309.67$,,341$ billion,7.2%,1.48$,,,,,,,,,18°C,20.8°C,68%,15.2°C,1,2,66.54$,1.79$,2,,,42,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
130,Valparaiso,76,673 people/km²,,0.3 million,-0.24%,51%,49%,433.97$,734.94$,,28$ billion,8.3%,1.16$,,,,,,,,,14.1°C,18.5°C,76%,,1,1,32.63$,0.67$,0,,,24,,2,63.8%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
131,Antalya,76,478 people/km²,36.3 years,0.99 million,9.7%,49.9%,50.1%,200.75$,599.7$,,42$ billion,,0.63$,18%,,,,,,,,19.2°C,24.4°C,64%,13.9°C,0,1,23.75$,0.59$,1,,,28,,8,43.6%,,,,,7,,,,,0km,,,,,,,,,,,,,,,,,,
132,Tirana,76,10553 people/km²,30.9 years,0.42 million,,50.5%,49.4%,294.38$,250$,,,13.3%,1.04$,20%,,,,,,,,16°C,22.4°C,52.1%,,0,1,12.46$,0.33$,1,,,5,,4,,,54,,,9,11,,2,,,41.8 km²,,,29,,,,,,,,,,,,,,
133,Las Vegas,76,16595 people/km²,33.9 years,0.58 million,4.1%,49.6%,50.4%,878.94$,3 124.54$,,,8.6%,0.78$,,5,,,,,,,20°C,27°C,50%,,0,2,62.5$,2.5$,3,,8,80,22.4 minutes,26,50.1%,,,,,41,,,11,,,,,,,,,,,,,,,,,,,,
134,Georgetown,76,,24.2 years,0.13 million,,50.2%,49.8%,862.5$,2 366.67$,,,,0.76$,,3,,4.07$,,,,,13.3°C,18.7°C,,7.8°C,0,2,30$,1$,3,,,,,,50.1%,,17,,,6,3,,,,,,,,,,,,,,,,,,,,,,
135,Brno,76,1700 people/km²,41.1 years,0.38 million,-1.56%,51%,49%,455.5$,935.58$,0.26,,8.15%,0.69$,,,,,,,,,10.3°C,14.8°C,75.1%,5.8°C,1,2,23.25$,1.06$,1,,,37,,4,,,,,,10,,,17,,,,,,,,,,,,,,,,,,,,
136,Sharm el Sheikh,76,,,0.03 million,,,,277.03$,132.98$,,,9.7%,0.66$,,,,2.36$,,,,,27°C,31.8°C,,22.3°C,0,0,,0.17$,1,,,21,,2,,,,,,,,,,,0km,,,,,,,,,,,,,,,,,,
137,Vancouver,76,5249 people/km²,41.9 years,0.6 million,,,,1 273.06$,2 157.90$,0.44,95$ billion,7.6%,,,,,,,,,,11.5°C,14.5°C,70.3%,,0,1,68.7$,2.03$,1,,2,,,,53.59%,,0,,,7,1,,,,,,,,,,,,,,,,,,,,,,
138,Amsterdam,76,3506 people/km²,38.6 years,0.85 million,2.3%,50.5%,49.5%,1 508.37$,2 584.06$,0.31,579.8$ billion,3.5%,,,,,,,,,,10.5°C,14.2°C,82.5%,6.9°C,1,2,100.62$,3.24$,1,2.45,1,,,,,25,6,,,51,,,55,1,,219 km²,,,18,,,,400km,,,,,,,,,,
139,Zagreb,76,1200 people/km²,41.4 years,0.8 million,-0.15%,52%,48%,418$,962$,0.31,,18.4%,1.08$,,,,,,,,,10.6°C,15.7°C,,5.4°C,0,2,53.63$,0.6$,1,,0,36,,,,,51,,,21,2,,17,,,641 km²,,,18,,,,,,,,,,,,,,
140,Astana,75,1000 people/km²,,0.74 million,5%,51.62%,48.38%,381.29$,478.6$,,15.3$ billion,,0.8$,12%,13,17.5%,,4.15$,0.42$,,10%,3.3°C,8.9°C,,-2.3°C,,,15.95$,0.29$,1,,1,,,,,,28,,,5,8,,3,,,,,,,,,0.77$,,,,,,,,,,,
141,Detroit,75,1985 people/km²,32.6 years,0.7 million,-4.2%,52.6%,47.4%,1 199.67$,3 402.08$,0.41,,15.4%,0.66$,10%,,,,,,,,10.8°C,15.3°C,70.5%,,0,3,57$,2$,1,,0,,29.6 minutes,,50.7%,,,0,,5,0,,28,,,,,76.8%,,,,,,,,,,,,,,,
142,Podgorica,75,,38.3 years,0.16 million,,50.2%,50.2%,344$,540.43$,,,11.5%,0.83$,21%,,,,,,,,16.1°C,21.1°C,,11.1°C,0,7,27.95$,0.9$,1,,,,,,,,12,,,4,4,,2,,,,,,,,,,,,,,,,,,,,
143,Tallinn,75,2600 people/km²,40.5 years,0.44 million,1.2%,55.3%,44.7%,516.23$,1 015.91$,0.31,,12%,0.62$,20%,8,33%,6.9$,6.15$,1.26$,,,6.3°C,9.9°C,80%,2.8°C,2,1,25.71$,1.79$,1,,,,,7,,,29,,103.08m²,9,17,,7,,,159.2 km²,,,23,6.3,,,,,,,,,,,,,
144,Kigali,75,1165 people/km²,18.7 years,0.96 million,1.2%,,,,19$,0.5,,13%,,18%,15,30%,,,,1.6,0%,20.5°C,25.7°C,66.76%,15°C,0,,,,1,,,,,,,,22,,,,,0.5$ billion,,,,,,,,4.1,,,,,,,,25,,,,,
145,Luanda,75,2291.93 people/km²,18 years,2.83 million,2.78%,49.5%,50.4%,2 613.42$,1 613.00$,0.62,,25%,2.55$,,,,,,,,,25.7°C,28.3°C,,23.1°C,0,3,90$,2$,1,,0,,,,,,45,,,4,0,,,,,,,,,,,,,,,,,,,,,,
146,Vientiane,75,,,0.8 million,,50.5%,49.4%,525$,227.43$,,,2.5%,2.22$,10%,,,,,,,,27.1°C,31.4°C,,22.8°C,1,1,,0.55$,1,,,,,4,,,20,,,3,3,,,,,,,,,,,,,,,,,,,,,,
147,Bratislava,75,1300 people/km²,38.7 years,0.46 million,0.65%,,,594.83$,1 896.52$,0.25,,2.65%,0.78$,,,,,,,,,11.4°C,15.9°C,60.3%,6.8°C,0,1,30.07$,1.01$,1,,,115,,20,,,42,,110m²,14,18,,10,,,367 km²,,,21,,,,,,,,,,,,,,
148,Jerusalem,75,6400 people/km²,24 years,0.8 million,1.8%,50.3%,49.7%,699.93$,2 127.23$,0.39,,8.3%,1.61$,,,,,,,,,17.5°C,21.5°C,58.3%,,1,,107.05$,1.54$,1,,0,,,,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,
149,Manchester,75,4349 people/km²,,2.7 million,0.11%,49%,51%,908.78$,1 938.26$,0.35,,5.95%,1.13$,,,,,,,,,10°C,13.6°C,81%,,0,5,66.17$,3.24$,1,,0,,27.8 minutes,,50.84%,,,0,,7,,,,,3.7km,,,,,,,,,,,,,,,,,,
150,"San José, Costa Rica",75,8198 people/km²,29.2 years,0.37 million,,49.5%,50.5%,,800$,0.5,,6.5%,,13%,8,,,,,,,21.9°C,26.9°C,68.2%,,0,1,28$,,2,,0,,,,41.84%,,35,0,,,1,,,,0km,,,,,,,,,,,,,,,,,,
151,Columbus,74,1400 people/km²,38.8 years,0.79 million,,51.2%,48.8%,994.44$,2 955.58$,,90$ billion,6%,0.67$,,13,,4.07$,6.5$,0.59$,,,12.2°C,17.3°C,,7.1°C,0,2,62$,2$,2,,0,,24 minutes,,,,0,0,,4,0,,,,,,,,,,,1.55$,,,,,,,,,,,
152,Nice,74,4800 people/km²,,0.34 million,0.9%,54%,46%,808.98$,2 260.85$,,47.7$ billion,13.2%,1.03$,19.6%,1,75%,4.93$,8.94$,1.36$,,,16.4°C,19.6°C,,13.3°C,,1,33.54$,1.68$,1,,0,51,,47,35.7%,,,,,9,,,,,0km,,,,,,,,,,,,,,,,,,
153,Tegucigalpa,74,5604 people/km²,21.3 years,1.13 million,5.4%,49.5%,50.5%,283.58$,392.77$,0.58,,2.9%,0.98$,,,,,,,,,22.2°C,27.9°C,,16.7°C,0,1,26$,0.55$,1,,0,,,40,,,27,0,,14,0,,4,,0km,,,,,,,,,,,,,,,,,,
154,Dushanbe,74,7300 people/km²,22.9 years,0.78 million,3.29%,50.3%,49.7%,283.32$,115.71$,,1.36$ billion,0.71%,0.62$,,,,,,,,,16.1°C,22.6°C,,9.6°C,,1,5.67$,0.3$,1,,,,,3,,,12,,0.1m²,3,7,,6,,,,,,,,,,,,,,,,,,,,
155,Dresden,74,1600 people/km²,44 years,0.78 million,,,,544.89$,1 938.34$,,,15%,0.71$,19%,,,,,,,,9.9°C,13.6°C,,6.2°C,0,,65.96$,2.57$,1,,,,,13,31%,,20,,,54,,,37,,,,,,,,,,250km,,,,,,,,,,
156,Minsk,74,6000 people/km²,38 years,1.99 million,0.47%,53.5%,46.5%,381.09$,368.59$,0.27,33$ billion,0.2%,,,,,,,,,,7.3°C,11.2°C,78%,3.4°C,0,1,15.81$,0.27$,2,,,45,,25,,,53,,72.6m²,17,12,,10,,1.87km,308 km²,,,20,,,,,,,,,,,,,,
157,Mbabane,74,,20.5 years,0.1 million,1.19%,50.5%,49.5%,248.34$,738.07$,0.52,,40%,1.02$,14%,,,,,,,,20.6°C,26°C,,15.2°C,0,0,61.22$,0.46$,,,0,,,,7.8%,,4,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
158,Ramallah,74,,,0.06 million,,49.5%,50.5%,493.93$,783.29$,,,17.1%,2$,14.5%,2,15%,4.67$,8.07$,1.84$,,5%,21.2°C,25.9°C,60%,16.4°C,0,,30.61$,1.11$,0,,,,,,,,1,,,,,,,,,,,,,,,2.27$,,,,,,,,,,,
159,Chiang Mai,74,3687 people/km²,,0.15 million,,,,316.98$,368.37$,,5$ billion,27%,1.37$,,,,,,,,,27.2°C,32.5°C,70.9%,21.8°C,0,0,29.01$,0.58$,1,,0,6,,9,26.6%,,17,,,7,,,6,,0km,,,,,,,,,,,,,,,,,,
160,Charlotte,74,950 people/km²,33.3 years,0.75 million,2.7%,51.7%,48.3%,1 303.20$,2 592.31$,0.48,110$ billion,9.8%,0.83$,,,,,,,,,16.4°C,22.6°C,,10.3°C,0,1,88$,2.2$,1,,2,,26 minutes,,,,,0,,18,0,,10,,,,,,,,,,,,,,,,,,,,
161,Macao,74,18568 people/km²,36.7 years,0.57 million,,47.6%,52.3%,1 985.65$,3 366.15$,,36.43$ billion,2%,1.52$,,,,,,,,,29.5°C,33.8°C,83%,,1,0,68.06$,1.36$,1,,,,,7,,,17,,,15,0,,1,,,,,,,,,,,,,,,,,,,,
